,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2783,0.0,Misericordia University,0.05-0.06,0.09-0.10,25990.0,50605.0,0.8871,0.619,0.8028,55910.0
2784,0.0,Montgomery County Community College,0.15,0.08,8100.0,12509.0,,,,37237.0
2785,0.0,Moore College of Art and Design,0.10-0.19,<=0.10,22875.0,64551.0,0.5318,0.6364,0.732,30512.0
2786,0.0,Moravian University,<=0.05,0.10-0.14,25000.0,62571.0,0.6702,0.5793,0.7773,53471.0
2787,0.0,Mount Aloysius College,0.10-0.14,0.05-0.09,18159.0,38096.0,0.8595,0.339,0.7405,45211.0
2788,0.0,Muhlenberg College,<=0.05,0.15-0.19,23025.0,71431.0,0.6551,0.9231,0.9089,53265.0
2789,0.0,Neumann University,0.13-0.14,0.05-0.06,21500.0,54330.0,0.8546,0.4848,0.7095,48556.0
2790,0.0,New Castle School of Trades,0.20-0.29,<=0.10,7934.0,,,,,41932.0
2791,0.0,Northampton County Area Community College,0.17-0.18,0.05-0.06,9500.0,16330.0,,,,36571.0
2792,0.0,Heritage Valley Health System School of Nursing,PS,PS,,29407.0,0.4118,,,54571.0
2793,0.0,Orleans Technical College,<=0.20,<=0.20,7521.0,,0.6566,,,41834.0
2794,0.0,Salus University,<=0.10,0.20-0.29,,,,,,
2795,0.0,Pennsylvania Institute of Technology,<=0.20,<=0.20,6334.0,21575.0,,1.0,,31499.0
2796,0.0,Pennsylvania State University-Penn State Erie-Behrend College,0.07,0.12,20980.0,31624.0,0.9544,0.4444,0.8219,55620.0
2797,0.0,Pennsylvania State University-Penn State Great Valley,0.07,0.12,20980.0,,,,,55620.0
2798,0.0,Pennsylvania State University-Penn State New Kensington,0.07,0.12,20980.0,26795.0,0.9145,0.2727,0.7559,55620.0
2799,0.0,Pennsylvania State University-Penn State Shenango,0.07,0.12,20980.0,28582.0,0.8698,0.1538,0.8214,55620.0
2800,0.0,Pennsylvania State University-Penn State Wilkes-Barre,0.07,0.12,20980.0,26114.0,0.9525,0.193,0.8621,55620.0
2801,0.0,Pennsylvania State University-Penn State Scranton,0.07,0.12,20980.0,26498.0,0.9399,0.3488,0.7798,55620.0
2802,0.0,Pennsylvania State University-Penn State Lehigh Valley,0.07,0.12,20980.0,27409.0,0.9408,0.1263,0.7917,55620.0
2803,0.0,Pennsylvania State University-Penn State Altoona,0.07,0.12,20980.0,31423.0,0.9576,0.1671,0.7707,55620.0
2804,0.0,Pennsylvania State University-Penn State Beaver,0.07,0.12,20980.0,26403.0,0.932,0.2326,0.7247,55620.0
2805,0.0,Pennsylvania State University-Penn State Berks,0.07,0.12,20980.0,30721.0,0.9729,0.3237,0.7577,55620.0
2806,0.0,Pennsylvania State University-Penn State Harrisburg,0.07,0.12,20980.0,31448.0,0.9555,0.3392,0.8026,55620.0
2807,0.0,Pennsylvania State University-Penn State Brandywine,0.07,0.12,20980.0,29564.0,0.9619,0.2787,0.7375,55620.0
2808,0.0,Pennsylvania State University-Penn State DuBois,0.07,0.12,20980.0,27815.0,0.9237,0.3396,0.8617,55620.0
